satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
GLOBALSTAR 2-R OBJECT F,GLOBALSTAR 2-R OBJECT G,100330,100331,56.08236964141665,0.05970671594895143,0.0,56.08236964141665,LOW,10
GLOBALSTAR 2-R OBJECT B,GLOBALSTAR 2-R OBJECT C,100326,100327,58.43756466298481,0.06220837850609927,0.0,58.43756466298481,LOW,10
STARLINK-38135,STARLINK-38137,100122,100198,8691.895056736996,11.565642381000462,751.5087856048705,60.87785664539445,LOW,10
GLOBALSTAR 2-R OBJECT E,GLOBALSTAR 2-R OBJECT F,100329,100330,63.03741534188257,0.06717301443388575,0.0,63.03741534188257,LOW,10
STARLINK-38192,STARLINK-38218,100158,100195,3781.660567723456,14.566362526410169,259.5798432595426,63.099573660349456,LOW,10
STARLINK-38227,STARLINK-38167,100193,100257,3079.368110711904,14.593155509561516,210.95764828907377,71.50647436439881,LOW,10
STARLINK-38182,STARLINK-38223,100148,100190,9445.21263390108,10.664681053083815,885.6279194557035,71.85719721802134,LOW,10
STARLINK-38182,STARLINK-38165,100148,100191,8998.382944998335,11.161129099464477,806.1989116645173,72.59190317714697,LOW,10
STARLINK-38072,STARLINK-38157,100113,100263,407.7001014690978,3.288848116005747,121.62560466431437,78.82169793279398,LOW,10
STARLINK-38173,STARLINK-38176,100151,100189,3424.550233826077,14.703378136766899,232.84549719715937,80.01216556023212,LOW,10
STARLINK-38252,STARLINK-38266,100254,100255,86.95383725194743,0.0995475041006897,81.67185614291897,86.5729125199322,LOW,10
STARLINK-38228,STARLINK-38167,100192,100257,3729.754208182195,14.391594261145013,259.0920156114785,86.66621652440439,LOW,10
STARLINK-38062,STARLINK-38176,100117,100189,12611.29145690689,4.930901408646501,2557.5401123709917,88.89597224264087,LOW,10
GLOBALSTAR 2-R OBJECT C,GLOBALSTAR 2-R OBJECT E,100327,100329,89.77282613930906,0.0956041182458874,0.0,89.77282613930906,LOW,10
STARLINK-38172,STARLINK-38280,100214,100265,90.7885465042479,1.0220659612966834,0.0,90.7885465042479,LOW,10
STARLINK-38111,STARLINK-38228,100152,100192,7430.592182425302,12.586224784029078,590.326772044375,94.95477583373885,LOW,10
STARLINK-38030,STARLINK-38149,100118,100169,1003.1558875775573,1.7054964723256012,585.3788470167916,97.95883405204835,LOW,10
STARLINK-38164,STARLINK-38126,100224,100235,100.80748023753375,0.11560473744455341,200.966173066028,98.09379405832132,LOW,10
GLOBALSTAR 2-R OBJECT A,GLOBALSTAR 2-R OBJECT C,100325,100327,100.33297077483554,0.1067342084397718,0.0,100.33297077483554,LOW,10
GLOBALSTAR 2-R OBJECT B,GLOBALSTAR 2-R OBJECT D,100326,100328,104.68009373069698,0.11143071990720689,0.0,104.68009373069698,LOW,10
GLOBALSTAR 2-R OBJECT D,GLOBALSTAR 2-R OBJECT F,100328,100330,106.56677120097862,0.11355313312670179,0.0,106.56677120097862,LOW,10
2026-170A,2026-170B,100143,100144,109.56980016212499,0.12006972050344221,0.0,109.56980016212499,LOW,10
GLOBALSTAR 2-R OBJECT F,GLOBALSTAR 2-R OBJECT H,100330,100332,110.8759809958792,0.11803648708867431,0.0,110.8759809958792,LOW,10
STARLINK-38136,STARLINK-38141,100166,100188,10024.877902837618,9.96380322082557,1006.0667904627052,112.06376163846785,LOW,10
STARLINK-38186,STARLINK-37207,100162,100184,13232.23634792354,0.9441683798220977,14014.165413678658,115.5462354941797,LOW,10
STARLINK-38165,STARLINK-38259,100191,100252,4748.319299239264,13.991193880785573,339.2770267389166,116.46984901297967,LOW,10
STARLINK-37207,2026-178A,100184,100237,9195.36385547181,8.928935947942435,1029.7548854163776,117.31932415311704,LOW,10
GLOBALSTAR 2-R OBJECT E,GLOBALSTAR 2-R OBJECT G,100329,100331,119.1184173467967,0.12687818869940867,0.0,119.1184173467967,LOW,10
2026-167C,2026-167D,100127,100128,558.8927148194834,0.02814415476611766,19385.708531729157,121.19339056393277,LOW,10
STARLINK-38141,STARLINK-38226,100188,100217,5172.124327071653,13.568228998802166,381.0856366664188,123.18406941819062,LOW,10
STARLINK-38126,ELECTRON R/B,100235,100245,4847.717167287198,5.624725635867915,861.5775559665809,123.75120458309743,LOW,10
STARLINK-38196,STARLINK-38167,100200,100257,3878.1927910607237,14.333232413943804,270.43234704099626,125.25141907360502,LOW,10
STARLINK-38111,STARLINK-38196,100152,100200,7564.9772976893955,12.480706444298118,606.0486960144518,126.72130069894133,LOW,10
PESSOA,STARLINK-38187,100139,100259,4520.0178841987645,8.8120085760177,512.7222843275597,131.20627722584334,LOW,10
PESSOA,STARLINK-38217,100139,100170,4253.840627739672,7.821602102793524,543.5865646938935,134.37145121367473,LOW,10
STARLINK-38097,STARLINK-38280,100163,100265,139.4320687049013,1.3208200005347996,0.0,139.4320687049013,LOW,10
STARLINK-38072,QPS-SAR-13 (MIKURA-I),100113,100243,7818.458463556216,5.176771678898056,1510.0505983644325,140.9874993234577,LOW,10
STARLINK-38101,STARLINK-38104,100110,100185,144.6865721981806,15.263677521011006,1.4319367497216084,143.0261944631673,LOW,10
STARLINK-38127,STARLINK-38195,100155,100196,543.0180955949301,15.18805640415969,34.47310726433342,143.99014508342108,LOW,10
GLOBALSTAR 2-R OBJECT A,GLOBALSTAR 2-R OBJECT D,100325,100328,146.57456594699323,0.15595579862375475,0.0,146.57456594699323,LOW,10
GLOBALSTAR 2-R OBJECT B,GLOBALSTAR 2-R OBJECT E,100326,100329,148.20839251517927,0.15780834308199654,0.0,148.20839251517927,LOW,10
